observed_date,ticker
2008-12-31,A
2008-12-31,AA
2008-12-31,AAPL
2008-12-31,ABC
2008-12-31,ABI
2008-12-31,ABT
2008-12-31,ACAS
2008-12-31,ACS
2008-12-31,ADBE
2008-12-31,ADI
2008-12-31,ADM
2008-12-31,ADP
2008-12-31,ADSK
2008-12-31,AEE
2008-12-31,AEP
2008-12-31,AES
2008-12-31,AET
2008-12-31,AFL
2008-12-31,AGN
2008-12-31,AIG
2008-12-31,AIV
2008-12-31,AIZ
2008-12-31,AKAM
2008-12-31,AKS
2008-12-31,ALL
2008-12-31,ALTR
2008-12-31,AMAT
2008-12-31,AMD
2008-12-31,AMGN
2008-12-31,AMP
2008-12-31,AMT
2008-12-31,AMZN
2008-12-31,AN
2008-12-31,ANF
2008-12-31,AOC
2008-12-31,APA
2008-12-31,APC
2008-12-31,APD
2008-12-31,APOL
2008-12-31,ASH
2008-12-31,ATI
2008-12-31,AVB
2008-12-31,AVP
2008-12-31,AVY
2008-12-31,AW
2008-12-31,AXP
2008-12-31,AYE
2008-12-31,AZO
2008-12-31,BA
2008-12-31,BAC
2008-12-31,BAX
2008-12-31,BBBY
2008-12-31,BBT
2008-12-31,BBY
2008-12-31,BCR
2008-12-31,BDK
2008-12-31,BDX
2008-12-31,BEN
2008-12-31,BF.B
2008-12-31,BHI
2008-12-31,BIG
2008-12-31,BIIB
2008-12-31,BJS
2008-12-31,BK
2008-12-31,BLL
2008-12-31,BMC
2008-12-31,BMS
2008-12-31,BMY
2008-12-31,BNI
2008-12-31,BRCM
2008-12-31,BSX
2008-12-31,BTU
2008-12-31,BXP
2008-12-31,C
2008-12-31,CA
2008-12-31,CAG
2008-12-31,CAH
2008-12-31,CAM
2008-12-31,CAT
2008-12-31,CB
2008-12-31,CBE
2008-12-31,CBG
2008-12-31,CBS
2008-12-31,CCE
2008-12-31,CCL
2008-12-31,CEG
2008-12-31,CELG
2008-12-31,CF
2008-12-31,CHK
2008-12-31,CHRW
2008-12-31,CI
2008-12-31,CIEN
2008-12-31,CINF
2008-12-31,CIT
2008-12-31,CL
2008-12-31,CLX
2008-12-31,CMA
2008-12-31,CMCSA
2008-12-31,CME
2008-12-31,CMI
2008-12-31,CMS
2008-12-31,CNP
2008-12-31,CNX
2008-12-31,COF
2008-12-31,COG
2008-12-31,COH
2008-12-31,COL
2008-12-31,COP
2008-12-31,COST
2008-12-31,COV
2008-12-31,CPB
2008-12-31,CPWR
2008-12-31,CRM
2008-12-31,CSC
2008-12-31,CSCO
2008-12-31,CSX
2008-12-31,CTAS
2008-12-31,CTL
2008-12-31,CTSH
2008-12-31,CTX
2008-12-31,CTXS
2008-12-31,CVG
2008-12-31,CVH
2008-12-31,CVS
2008-12-31,CVX
2008-12-31,D
2008-12-31,DD
2008-12-31,DDR
2008-12-31,DE
2008-12-31,DELL
2008-12-31,DF
2008-12-31,DFS
2008-12-31,DGX
2008-12-31,DHI
2008-12-31,DHR
2008-12-31,DIS
2008-12-31,DNB
2008-12-31,DOV
2008-12-31,DOW
2008-12-31,DPS
2008-12-31,DRI
2008-12-31,DTE
2008-12-31,DTV
2008-12-31,DUK
2008-12-31,DVA
2008-12-31,DVN
2008-12-31,DYN
2008-12-31,EBAY
2008-12-31,ECL
2008-12-31,ED
2008-12-31,EFX
2008-12-31,EIX
2008-12-31,EK
2008-12-31,EL
2008-12-31,EMC
2008-12-31,EMN
2008-12-31,EMR
2008-12-31,EOG
2008-12-31,EP
2008-12-31,EQ
2008-12-31,EQR
2008-12-31,ERTS
2008-12-31,ESRX
2008-12-31,ESV
2008-12-31,ETFC
2008-12-31,ETN
2008-12-31,ETR
2008-12-31,EXC
2008-12-31,EXPD
2008-12-31,EXPE
2008-12-31,F
2008-12-31,FAST
2008-12-31,FCX
2008-12-31,FDO
2008-12-31,FDX
2008-12-31,FE
2008-12-31,FHN
2008-12-31,FII
2008-12-31,FIS
2008-12-31,FISV
2008-12-31,FITB
2008-12-31,FLR
2008-12-31,FLS
2008-12-31,FO
2008-12-31,FPL
2008-12-31,FRX
2008-12-31,FTR
2008-12-31,GAS
2008-12-31,GCI
2008-12-31,GD
2008-12-31,GE
2008-12-31,GENZ
2008-12-31,GGP
2008-12-31,GILD
2008-12-31,GIS
2008-12-31,GLW
2008-12-31,GM
2008-12-31,GME
2008-12-31,GNW
2008-12-31,GOOG
2008-12-31,GPC
2008-12-31,GPS
2008-12-31,GR
2008-12-31,GS
2008-12-31,GT
2008-12-31,GWW
2008-12-31,HAL
2008-12-31,HAR
2008-12-31,HAS
2008-12-31,HBAN
2008-12-31,HCBK
2008-12-31,HCP
2008-12-31,HD
2008-12-31,HES
2008-12-31,HIG
2008-12-31,HNZ
2008-12-31,HOG
2008-12-31,HON
2008-12-31,HOT
2008-12-31,HPC
2008-12-31,HPQ
2008-12-31,HRB
2008-12-31,HRS
2008-12-31,HSP
2008-12-31,HST
2008-12-31,HSY
2008-12-31,HUM
2008-12-31,IBM
2008-12-31,ICE
2008-12-31,IFF
2008-12-31,IGT
2008-12-31,INTC
2008-12-31,INTU
2008-12-31,IP
2008-12-31,IPG
2008-12-31,IR
2008-12-31,IRM
2008-12-31,ISRG
2008-12-31,ITT
2008-12-31,ITW
2008-12-31,IVZ
